Organization|Mission Statement|Category|City|Volunteering Opportunities|Address|Phone Number|E-mail|Website|Notes||||||||||||||||
Faith in Action|"To help senior residents maintain 
 an independent lifestyle by providing free 
 transportation services for medical 
 appointments, grocery shopping, and 
 important errands."|Seniors|Georgetown|"Drive seniors; 
 Provide office assistance; Help coordinate 
 drivers and service requests; Offer 
 handyman services"|"2995 Dawn Drive Suite 106,
 Georgetown,Texas, 78628"|(512) 868-9544|volunteering@faithinactiongt.org|http://www.faithinactiongt.org/|||||||||||||||||
Family Eldercare|"To provide services to seniors, 
 adults with disabilities, and caregivers."|Seniors|Georgetown`Austin|Assist in special events; volunteer with Family Eldercareï¿½s Money Management program; become a guardianship advocate; join Lifetime Connections Without Walls program (LCWW) a telephone-based service that allows older adults the opportunity to connectdevelop long-term programs for senior clients|"805 West University Avenue,
 Georgetown, TX, 78726"|512-450-0844|info@familyeldercare.org|https://www.familyeldercare.org/|||||||||||||||||
Innovative Senior Care Hospice|"To enrich the lives of those we 
 serve with compassion, respect, excellence, 
 and integrity."|Seniors||"Visit patients; 
 Perform light housekeeping or run errands"|.,.,.,0||||||||||||||||||||
"Madella Hilliard Neighborhood Senior 
 Center"|"To serve as the operating location 
 for Georgetownï¿½s Meals on Wheels 
 program. To offer opportunities for 
 recreation, exercise, socialization, nutrition 
 education, and health screenings."|Seniors/Hunger|Georgetown|No formal info on website|803 W. 8th St., Georgetown, TX, 78626|"Site Lead
 Sunny Hall: 512-863-5010"||http://www.opportunitiesforwbc.org/meals-on-wheels/|||||||||||||||||
Park Place Health Care Center|Our full-time, therapy and rehabilitation team provides physical, occupational, and speech therapy. Our goal is to assist each individual to achieve their highest possible level of function and independence.|Seniors|Georgetown|Visit with seniors|121 FM971, Georgetown, TX, 78626|(512) 868-6200|L.tubbs@chosenhc.com|https://www.parkplacehealthcarecenter.com/|||||||||||||||||
The Wesleyan at Estrella Assisted Living & Memory Care|Wesleyan Homes strives to be the premier provider of supportive care and services in Central Texas, open to all senior adults.|Seniors|Georgetown|No formal information, but contact Laura Pittman|109 Estrella Crossing, Georgetown, TX, 78628|512-943-9804|pittman@wesleyanhomes.org|http://www.wesleyanhomes.org/assisted_living.php|||||||||||||||||
The Wesleyan at Estrella Independent Living|Wesleyan Homes strives to be the premier provider of supportive care and services in Central Texas, open to all senior adults.|Seniors|Georgetown|No formal information, but contact Michelle Munk|139 Estrella Crossing, Georgetown, TX, 78628|512-863-2528|munk@wesleyanhomes.org|http://www.wesleyanhomes.org/independent_living.php|||||||||||||||||
The Wesleyan at Scenic Rehabilitation & Healthcare|Wesleyan Homes strives to be the premier provider of supportive care and services in Central Texas, open to all senior adults.|Seniors|Georgetown|No formal information, but contact Sandy Harris|2001 Scenic Drive, Georgetown, TX, 78626|512-863-9511|activities@wesleyanhomes.org|http://www.wesleyanhomes.org/rehabilitation.php|||||||||||||||||
Wesleyan Hospice|Wesleyan Homes strives to be the premier provider of supportive care and services in Central Texas, open to all senior adults.|Seniors|Georgetown|No formal information, but contact Michael Turner|"2100 Scenic Dr. Suite 140, 
 Georgetown, TX, 78626"|512-863-8848|turner.hospice@wesleyanhomes.org|http://www.wesleyanhomes.org/hospice.php|||||||||||||||||
Exceptional Georgetown Alliance|Our mission is to provide educational, recreational, social and vocational programs to children and young adults with cognitive and developmental disabilities.|Special Needs|Georgetown|They have voulenteers for their events, to find out more information contact them|"4500 Williams Drive
 Ste 212-526,
 Georgetown, TX, 78633"||exceptionalgeorgetown@gmail.com|http://www.exceptionalgeorgetown.org/|||||||||||||||||
The R.O.C.K.|Improving independence and life skills, in partnership with the horse.|Special Needs`Animals|Georgetown|Side walkers, horse handlers, barn maintenance, office volunteers, special event volunteers, work groups.|2050 Rockride Lane, Georgetown, TX, 78626|512-930-7625`(737)300-7625|rockateers@ROCKride.org|http://www.rockride.org/|||||||||||||||||
Special Education Parent Liaisons|"To assist parents in navigating the 
 complex areas of Special Education."|Special Needs|Georgetown|N/A|603 Lakeway Drive, Georgetown, TX, 78628|(512) 943-5000 x6884|JenningsD@georgetownisd.org|http://www.georgetownisd.org/Page/16706|||||||||||||||||
After School Care Program (ASAP)|The After School Action Program (ASAP) provides middle school youth with safe after school alternatives that promote responsibility and healthy decisions. A variety of activities are offered that challenge students both mentally and physically to reach their goals|Youth|Georgetown|no formal information about volunteering, forms through GISD|603 Lakeway Drive, Georgetown, TX, 78628|943-5000 x6925|thornellc@georgetownisd.org|http://www.georgetownisd.org/Page/471|||||||||||||||||
Boys & Girls Club|To inspire and enable all young people, especially those who need us the most to realize their full potential as productive, responsible, and caring citizens.|Youth|Georgetown|Tutoring and homework help, volunteering with SU Community Garden, computers/ educational activities, career/leadership/character development, arts and crafts, athletics, special interest classes / teaching a hobby, special event/public speaking, fundraising, office/clerical work, service project, cleaning up, much more!|"1200 W 17th Street,
 Georgetown, Texas, 78626"|Diane Rasmussen 512-868-3700 x561||http://bgcgeorgetown.org/|||||||||||||||||
Community Interaction Partnership|A partnership with Southwestern University that builds job readiness skills in college students while serving at-risk youth and families through TGP school/community-based programming|At Risk`Youth|Georgetown|Internships|.,.,.,0|n/a|n/a|https://georgetownproject.org/community-interaction-partnership/?id=4|||||||||||||||||
"First United Methodist Church (The 
 Learning Tree ï¿½ Child Care Program)"|"To nurture children's growth in 
 grace through a developmentally 
 appropriate environment."|Youth|Georgetown|"provide childcare;
 Create educational activities"|410 E University Ave, Georgetown, TX, 78626|(512) 863-2370|laura@fumcgt.org|https://www.fumcgt.org/connect/children/|||||||||||||||||
Georgetown Area Junior Forum|"To promote volunteerism and 
 fundraising, and to improve the community 
 through the effective action and leadership 
 of volunteers."|Youth`Voulenteerism|Georgetown|N/A|"P.O. Box 5052,
 Georgetown, Texas, 78627"|n/a|gajfwebmaster@gmail.com|http://www.gajf.org/|||||||||||||||||
The Georgetown Project|The Georgetown Project identifies needs and develops resources, relationships and services so that our youth become caring, capable and resilient individuals.|Youth`Voulenteerism|Georgetown|Provides various projects that have individiual voulenteer opportunities|2308 Old Airport Road, Georgetown, TX, 78626|512.943.0074|leslie@georgetownproject.org|https://georgetownproject.org/|||||||||||||||||
Girl Scouts of Central Texas|Girl Scouting builds girls of courage, confidence, and character, who make the world a better place.|Youth|Austin|Volunteer at events held by girl scouts|"12012 Park Thirty Five Circle,
 Austin, TX, 78753"|512-453-7391|customercare@gsctx.org|http://www.gsctx.org/home|||||||||||||||||
