Organization|Mission Statement|Category|City|Volunteer Opportunities|Address|Phone Number|E-mail|Website|Notes||||||||||||||||
Arte Sana |To end sexual violence and other forms of gender-based aggression; to engage marginalized communities as agents of change; and to promote capacity building, awareness, healing, and empowerment through bilingual professional training, community education, and the arts.|Abuse|.|Translate documents (primarily English to Spanish); Develop culturally competent and linguistically appropriate materials for victim services groups|"P.O. Box 1334,
Dripping, Springs, TX, 78620"|None provided|artesanando@yahoo.com|www.arte-sana.com|.||||||||||||||||
Casa Marianella |To provide temporary shelter, food, and full supportive services to homeless immigrants.|Abuse|.|Help cook dinner with Casa staff and residents; Administrative support (answer calls, address resident and community needs, and perform general office duties)|"821 Gunter Street,
Austin, TX, 78702"|(512) 385-5571|jlong@casamarianella.org`volunteer@casamarianella.org |www.casamarianella.org|Suggest adding an entry for Posada Esperanza, the sister shelter to Casa Marianella (or making a combined entry for both shelters)||||||||||||||||
Center for Child Protection |To reduce the trauma for children during the investigation and prosecution of crimes against children.|Abuse|.|Provide support during the child abuse investigation process; Assist with marketing and fundraising; Grant writing assistance; Help with donation drives; Shop for supplies needed by families in crisis; Assist with Center upkeep; Internship opportunities|"8509 FM 969 Bldg 2,
Austin, TX, 78724 "|(512) 472-1164|awest@centerforchildprotection.org|www.centerforchildprotection.org|.||||||||||||||||
Children's Advocacy Centers of Texas |To restore the lives of abused children by supporting children�s advocacy centers (CACs) in partnership with local communities and agencies investigating and prosecuting child abuse.|Abuse|.|None provided|"1501 W. Anderson Lane Building B-1,
Austin, TX, 78757 "|(512) 258-9920 |info@cactx.org|www.cactx.org|.||||||||||||||||
Helping Hand Home for Children |To provide a nurturing and therapeutic home for children and to restore each child to a healthy family setting.|Abuse|.|Assist children with schoolwork; Facilitate events and activities; Play with children after school and on weekends; Assist with dinner and bedtime routines; Organize and/or assist with donation drives; Help maintain the home|"3804 Avenue B,
Austin, TX, 78751"|Volunteer & Enrichment Manager (512) 600-7898`General inquiries (512) 459-3353 |jreardon@helpinghandhome.org|www.helpinghandhome.org|.||||||||||||||||
The Linus Connection |To provide a handmade security blanket to every child who is in a crisis or at-risk situation in Central Texas.|Abuse|.|Make quilts and knitted or crocheted blankets; Deliver blankets; Sew on labels at monthly meetings; Additional volunteer opportunities |"P.O. Box 29491,
Austin, Texas, 78755"|.|thelinusconnection@yahoo.com|www.thelinusconnection.org|.||||||||||||||||
Prevent Child Abuse Texas |To prevent child abuse and neglect in all its forms throughout Texas and to change the way society values and supports the well-being of children and families.|Abuse|.|Serve as a legislative advocate by tracking legislation and researching issues; Assist with public awareness/community outreach campaigns; Provide aministrative support; Assist with fundraising efforts; Volunteer at special events and conferences|"P.O. Box 820383,
North Richland Hills, TX, 76182"|.|pcatx@preventchildabusetexas.org|www.preventchildabusetexas.org|Appears to be both a state-wide organization and an abuse treatment center in Austin. Uncertain of the connection; the two have the same website but different addresses and contact info. Address found through Guidestar; not available on org's website.||||||||||||||||
SafePlace (now called The SAFE Alliance)|To lead in ending sexual assault and exploitation, child abuse, and domestic violence through prevention, intervention, and advocacy for change.|Abuse|.|Offer support during sexual assault forensic exams, in court, and at the shelter; Work with children and youth; Help at fundraising events/during the holidays; Host activities and life-skills workshops; Assist with community outreach and awareness-raising |"P.O. Box 19454,
Austin, TX, 78760 "|(512) 267-7233|SAFEvolunteer@safeaustin.org`info@safeaustin.org|www.safeaustin.org|Has merged with Austin Children's Shelter to become The SAFE Alliance||||||||||||||||
SAHELI (now called Asian Family Support Services of Austin, or AFSSA)|To promote abuse-free Asian communities through advocacy, support, awareness, and access to social services.|Abuse|.|Offer peer counseling, crisis intervention, and overall support to survivors; Staff telephone helpline; Interpret/translate for clients; Assist with community education/outreach and awareness-raising; Facilitate life-skills workshops; Research information for AFSSA publications; Provide professional assistance such as legal aid or graphic/web design services |"P.O. Box 14234,
Austin, TX, 78761"|Volunteer Program: (512) 949-5948`Local Administrative Office: (512) 358-6318|volunteer@afssaustin.org`info@afssaustin.org|www.afssaustin.org|.||||||||||||||||
Settlement Home for Children |To promote healing and growth in children, young adults, and families by providing a continuum of care, support, and resources. We serve individuals who have experienced severe emotional trauma, abuse, and neglect.|Abuse|.|Mentor residents; Lead daily activities for residents; Provide academic help to students in our on-campus school; Coordinate and supervise group activities for residents; Lead special-interest classes (music, recreation, etc.); Help with special events (holidays, garage sale, etc.) |"1600 Payton Gin Road,
Austin, Texas, 78758"|(512) 836-2150|info@settlementhome.org`volunteers@settlementhome.org|www.settlementhome.org|.||||||||||||||||
